32 308
1 3 1
1 6 1
1 8 1
1 10 1
1 11 1
1 12 1
1 13 1
1 16 1
1 17 1
1 18 1
1 21 1
1 23 1
1 24 1
1 25 1
1 26 1
1 27 1
1 28 1
1 30 1
1 31 1
1 32 1
2 3 1
2 4 1
2 5 1
2 7 1
2 9 1
2 10 1
2 11 1
2 12 1
2 14 1
2 15 1
2 16 1
2 18 1
2 19 1
2 20 1
2 21 1
2 22 1
2 23 1
2 24 1
2 25 1
2 27 1
2 29 1
2 30 1
2 31 1
2 32 1
3 6 1
3 8 1
3 11 1
3 12 1
3 15 1
3 16 1
3 17 1
3 20 1
3 21 1
3 24 1
3 27 1
3 28 1
3 29 1
3 30 1
3 32 1
4 5 1
4 10 1
4 11 1
4 12 1
4 15 1
4 16 1
4 17 1
4 19 1
4 22 1
4 23 1
4 26 1
4 27 1
4 30 1
4 31 1
4 32 1
5 6 1
5 7 1
5 8 1
5 11 1
5 13 1
5 17 1
5 19 1
5 21 1
5 22 1
5 24 1
5 25 1
5 26 1
5 27 1
5 29 1
5 30 1
5 31 1
6 8 1
6 11 1
6 13 1
6 17 1
6 18 1
6 20 1
6 21 1
6 24 1
6 25 1
6 27 1
6 29 1
6 30 1
7 13 1
7 19 1
7 20 1
7 23 1
7 24 1
7 25 1
7 26 1
7 27 1
7 28 1
7 29 1
7 30 1
7 32 1
8 9 1
8 10 1
8 11 1
8 13 1
8 15 1
8 16 1
8 17 1
8 18 1
8 19 1
8 21 1
8 22 1
8 23 1
8 25 1
8 26 1
8 31 1
8 32 1
9 10 1
9 11 1
9 13 1
9 14 1
9 15 1
9 17 1
9 18 1
9 19 1
9 21 1
9 23 1
9 25 1
9 26 1
9 27 1
9 29 1
9 31 1
9 32 1
10 11 1
10 12 1
10 13 1
10 15 1
10 16 1
10 17 1
10 18 1
10 20 1
10 21 1
10 22 1
10 23 1
10 24 1
10 26 1
10 27 1
10 28 1
10 29 1
10 30 1
10 31 1
11 12 1
11 15 1
11 16 1
11 17 1
11 21 1
11 25 1
11 26 1
11 27 1
11 29 1
11 30 1
11 31 1
11 32 1
12 15 1
12 16 1
12 17 1
12 18 1
12 20 1
12 21 1
12 23 1
12 27 1
12 28 1
12 29 1
12 30 1
12 31 1
12 32 1
13 15 1
13 16 1
13 17 1
13 18 1
13 19 1
13 20 1
13 21 1
13 22 1
13 23 1
13 24 1
13 25 1
13 26 1
13 27 1
13 28 1
13 30 1
13 31 1
14 15 1
14 17 1
14 19 1
14 20 1
14 21 1
14 22 1
14 23 1
14 25 1
14 29 1
14 32 1
15 16 1
15 17 1
15 18 1
15 19 1
15 20 1
15 21 1
15 22 1
15 23 1
15 28 1
15 29 1
15 31 1
15 32 1
16 17 1
16 21 1
16 22 1
16 24 1
16 26 1
16 28 1
16 30 1
16 31 1
16 32 1
17 19 1
17 20 1
17 21 1
17 22 1
17 23 1
17 25 1
17 26 1
17 27 1
17 28 1
17 31 1
17 32 1
18 20 1
18 21 1
18 23 1
18 27 1
18 29 1
18 31 1
19 20 1
19 22 1
19 23 1
19 25 1
19 26 1
19 27 1
19 31 1
19 32 1
20 21 1
20 22 1
20 23 1
20 24 1
20 28 1
20 29 1
21 22 1
21 24 1
21 25 1
21 26 1
21 31 1
21 32 1
22 24 1
22 31 1
23 26 1
23 27 1
23 28 1
23 29 1
23 30 1
23 31 1
23 32 1
24 26 1
24 28 1
24 29 1
24 30 1
25 26 1
25 27 1
25 29 1
25 32 1
26 27 1
26 28 1
26 30 1
26 31 1
26 32 1
27 28 1
27 29 1
27 30 1
27 31 1
27 32 1
28 30 1
28 31 1
28 32 1
29 30 1
29 31 1
29 32 1
30 31 1
30 32 1
